day_no,calendar_dates,remarks
1,12/1/2020,
2,12/2/2020,
3,12/3/2020,
4,12/4/2020,
5,12/5/2020,
6,12/7/2020,
7,12/8/2020,
8,12/9/2020,
9,12/10/2020,
10,12/11/2020,
11,12/12/2020,
12,12/14/2020,
13,12/15/2020,
14,12/16/2020,
15,12/17/2020,
16,12/18/2020,
17,12/19/2020,
18,12/21/2020,
19,12/22/2020,
20,12/23/2020,
21,1/4/2021,
22,1/5/2021,
23,1/6/2021,
24,1/7/2021,
25,1/8/2021,
26,1/9/2021,
27,1/11/2021,
28,1/12/2021,
29,1/13/2021,
30,1/14/2021,
31,1/15/2021,
32,1/16/2021,
33,1/18/2021,
34,1/19/2021,
35,1/20/2021,
36,1/21/2021,
37,1/22/2021,
38,1/23/2021,
39,1/25/2021,
40,1/26/2021,
41,1/27/2021,
42,1/28/2021,
43,1/29/2021,
44,1/30/2021,
45,2/1/2021,
46,2/2/2021,
47,2/3/2021,
48,2/4/2021,
49,2/5/2021,
50,2/6/2021,
51,2/8/2021,
52,2/9/2021,
53,2/10/2021,
54,2/11/2021,
55,2/12/2021,
56,2/13/2021,
57,2/15/2021,
58,2/16/2021,
59,2/17/2021,
60,2/18/2021,
61,2/19/2021,
62,2/20/2021,
